2023-09-03 21:22:58 RAM 3342/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 122MB) CPU [26%@1479,34%@1479,24%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45C PMIC@50C GPU@42C AO@52C thermal@43.75C
2023-09-03 21:23:58 RAM 3331/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 123MB) CPU [26%@710,25%@710,25%@710,23%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44C PMIC@50C GPU@42C AO@52C thermal@43.25C
2023-09-03 21:24:58 RAM 3341/3956MB (lfb 27x4MB) SWAP 1439/4026MB (cached 124MB) CPU [29%@204,27%@204,24%@204,22%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42C AO@52C thermal@44.25C
2023-09-03 21:25:58 RAM 3344/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [31%@614,29%@614,25%@614,26%@614] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@45C PMIC@50C GPU@42.5C AO@51.5C thermal@43.25C
2023-09-03 21:26:58 RAM 3336/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [31%@204,26%@204,24%@204,25%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@51.5C thermal@43.5C
2023-09-03 21:27:58 RAM 3342/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [25%@1479,25%@1479,23%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@46C PMIC@50C GPU@42C AO@52C thermal@43.25C
2023-09-03 21:28:58 RAM 3350/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [29%@1479,27%@1479,28%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42C AO@52C thermal@43.25C
2023-09-03 21:29:58 RAM 3341/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [28%@307,29%@307,28%@307,28%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@43.5C
2023-09-03 21:30:58 RAM 3343/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [27%@1479,23%@1479,21%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@44.25C
2023-09-03 21:31:58 RAM 3337/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [25%@1479,33%@1479,26%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@45C PMIC@50C GPU@42C AO@52C thermal@43.5C
2023-09-03 21:32:58 RAM 3342/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [30%@307,27%@307,26%@307,26%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@43.5C
2023-09-03 21:33:58 RAM 3348/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 124MB) CPU [27%@403,24%@403,20%@403,19%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42C AO@52C thermal@43C
