2023-09-05 04:05:55 RAM 3531/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [34%@1479,33%@1479,32%@1479,32%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-05 04:06:55 RAM 3532/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [37%@1479,31%@1479,28%@1479,34%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@34.5C AO@44C thermal@35.5C
2023-09-05 04:07:55 RAM 3540/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [25%@1479,24%@1479,24%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@35C AO@44C thermal@36.5C
2023-09-05 04:08:55 RAM 3537/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [33%@1479,33%@1479,30%@1479,32%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@34.5C AO@44.5C thermal@35.75C
2023-09-05 04:09:55 RAM 3530/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [31%@1224,28%@1224,30%@1224,30%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-09-05 04:10:55 RAM 3535/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [29%@1224,28%@1224,26%@1224,26%@1224] EMC_FREQ 0% GR3D_FREQ 84% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 04:11:55 RAM 3535/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [36%@1224,30%@1224,32%@1224,31%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@35.75C
2023-09-05 04:12:55 RAM 3525/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [26%@1224,23%@1224,28%@1224,26%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 04:13:55 RAM 3541/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [34%@1224,29%@1224,34%@1224,30%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@35C AO@44C thermal@35.75C
2023-09-05 04:14:55 RAM 3537/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [32%@1224,32%@1224,35%@1224,29%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36.25C
