2023-09-04 01:05:20 RAM 3229/3956MB (lfb 22x4MB) SWAP 1737/4026MB (cached 138MB) CPU [25%@1479,18%@1479,19%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@40C PMIC@50C GPU@38C AO@47C thermal@39.5C
2023-09-04 01:06:20 RAM 3233/3956MB (lfb 22x4MB) SWAP 1737/4026MB (cached 138MB) CPU [28%@1479,26%@1479,25%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38C AO@47.5C thermal@39.25C
2023-09-04 01:07:20 RAM 3226/3956MB (lfb 22x4MB) SWAP 1739/4026MB (cached 138MB) CPU [27%@1479,29%@1479,26%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@41C PMIC@50C GPU@38C AO@47.5C thermal@38.75C
2023-09-04 01:08:20 RAM 3225/3956MB (lfb 22x4MB) SWAP 1741/4026MB (cached 138MB) CPU [29%@1479,25%@1479,29%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@41C PMIC@50C GPU@38C AO@47C thermal@38.75C
2023-09-04 01:09:20 RAM 3223/3956MB (lfb 22x4MB) SWAP 1742/4026MB (cached 138MB) CPU [22%@307,19%@307,22%@307,19%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@39.5C PMIC@50C GPU@37.5C AO@46.5C thermal@38.5C
2023-09-04 01:10:20 RAM 3229/3956MB (lfb 22x4MB) SWAP 1743/4026MB (cached 138MB) CPU [27%@307,25%@307,31%@307,24%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@39.5C PMIC@50C GPU@38C AO@47C thermal@38.75C
2023-09-04 01:11:20 RAM 3221/3956MB (lfb 22x4MB) SWAP 1743/4026MB (cached 138MB) CPU [30%@710,23%@710,29%@710,29%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@39.5C PMIC@50C GPU@37.5C AO@47C thermal@39.5C
2023-09-04 01:12:20 RAM 3226/3956MB (lfb 22x4MB) SWAP 1743/4026MB (cached 138MB) CPU [26%@1479,26%@1479,29%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40.5C PMIC@50C GPU@38C AO@47C thermal@39C
2023-09-04 01:13:20 RAM 3228/3956MB (lfb 22x4MB) SWAP 1745/4026MB (cached 138MB) CPU [25%@204,20%@204,21%@204,23%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@40C PMIC@50C GPU@38C AO@46.5C thermal@38.75C
2023-09-04 01:14:20 RAM 3225/3956MB (lfb 22x4MB) SWAP 1744/4026MB (cached 138MB) CPU [28%@1479,26%@1479,26%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40.5C PMIC@50C GPU@38C AO@47C thermal@38.5C
