2023-08-28 00:16:32 RAM 3435/3956MB (lfb 6x1MB) SWAP 1573/4026MB (cached 126MB) CPU [22%@1479,19%@1479,21%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46C PMIC@50C GPU@43.5C AO@53C thermal@44.75C
2023-08-28 00:17:32 RAM 3428/3956MB (lfb 7x1MB) SWAP 1576/4026MB (cached 126MB) CPU [19%@1224,17%@1224,20%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45.5C PMIC@50C GPU@43C AO@52.5C thermal@44C
2023-08-28 00:18:32 RAM 3427/3956MB (lfb 7x1MB) SWAP 1577/4026MB (cached 126MB) CPU [19%@1326,18%@1326,20%@1326,16%@1326] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@46C PMIC@50C GPU@43C AO@52.5C thermal@44C
2023-08-28 00:19:32 RAM 3429/3956MB (lfb 7x1MB) SWAP 1579/4026MB (cached 127MB) CPU [21%@1224,19%@1224,21%@1224,19%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@45.5C PMIC@50C GPU@43C AO@52.5C thermal@44.25C
2023-08-28 00:20:32 RAM 3427/3956MB (lfb 7x1MB) SWAP 1600/4026MB (cached 127MB) CPU [23%@1224,22%@1224,22%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@45C PMIC@50C GPU@43C AO@52.5C thermal@44C
2023-08-28 00:21:32 RAM 3437/3956MB (lfb 5x1MB) SWAP 1597/4026MB (cached 129MB) CPU [30%@921,26%@921,23%@921,26%@921] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@45C PMIC@50C GPU@43C AO@53C thermal@44.25C
2023-08-28 00:22:32 RAM 3422/3956MB (lfb 3x1MB) SWAP 1597/4026MB (cached 129MB) CPU [27%@204,20%@204,21%@204,22%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45C PMIC@50C GPU@43C AO@52.5C thermal@44.25C
2023-08-28 00:23:32 RAM 3428/3956MB (lfb 3x1MB) SWAP 1595/4026MB (cached 129MB) CPU [30%@1479,23%@1479,24%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45C PMIC@50C GPU@43C AO@52.5C thermal@43.75C
2023-08-28 00:24:32 RAM 3427/3956MB (lfb 3x1MB) SWAP 1595/4026MB (cached 129MB) CPU [28%@204,26%@204,25%@204,23%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42C AO@52C thermal@44C
2023-08-28 00:25:32 RAM 3429/3956MB (lfb 3x1MB) SWAP 1595/4026MB (cached 129MB) CPU [29%@307,27%@307,24%@307,24%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@43.5C
2023-08-28 00:26:32 RAM 3434/3956MB (lfb 1x2MB) SWAP 1595/4026MB (cached 129MB) CPU [29%@307,27%@307,22%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@43C AO@52C thermal@44.75C
2023-08-28 00:27:32 RAM 3426/3956MB (lfb 1x2MB) SWAP 1595/4026MB (cached 129MB) CPU [25%@307,22%@307,21%@307,23%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@43.25C
2023-08-28 00:28:32 RAM 3430/3956MB (lfb 1x2MB) SWAP 1595/4026MB (cached 129MB) CPU [29%@403,26%@403,22%@403,24%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45C PMIC@50C GPU@42.5C AO@51.5C thermal@44.25C
2023-08-28 00:29:32 RAM 3433/3956MB (lfb 27x1MB) SWAP 1595/4026MB (cached 129MB) CPU [28%@307,28%@307,25%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@43C AO@52C thermal@43.5C
2023-08-28 00:30:32 RAM 3430/3956MB (lfb 27x1MB) SWAP 1594/4026MB (cached 130MB) CPU [28%@1479,28%@1479,27%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@44.5C PMIC@50C GPU@42.5C AO@52.5C thermal@43.75C
2023-08-28 00:31:32 RAM 3431/3956MB (lfb 27x1MB) SWAP 1594/4026MB (cached 130MB) CPU [25%@1479,24%@1479,23%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@45C PMIC@50C GPU@42.5C AO@51.5C thermal@43.75C
2023-08-28 00:32:32 RAM 3435/3956MB (lfb 27x1MB) SWAP 1594/4026MB (cached 130MB) CPU [26%@204,24%@204,21%@204,22%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@51C thermal@43.5C
2023-08-28 00:33:32 RAM 3434/3956MB (lfb 27x1MB) SWAP 1594/4026MB (cached 130MB) CPU [36%@518,27%@518,26%@518,26%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@43.5C
2023-08-28 00:34:32 RAM 3439/3956MB (lfb 27x1MB) SWAP 1594/4026MB (cached 130MB) CPU [30%@1479,25%@1479,24%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45C PMIC@50C GPU@42.5C AO@52C thermal@43.25C
2023-08-28 00:35:32 RAM 3435/3956MB (lfb 27x1MB) SWAP 1594/4026MB (cached 130MB) CPU [27%@307,26%@307,24%@307,26%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@51.5C thermal@43.75C
2023-08-28 00:36:32 RAM 3432/3956MB (lfb 27x1MB) SWAP 1594/4026MB (cached 130MB) CPU [22%@1479,22%@1479,20%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@51.5C thermal@43.5C
2023-08-28 00:37:32 RAM 3438/3956MB (lfb 27x1MB) SWAP 1594/4026MB (cached 130MB) CPU [27%@307,26%@307,24%@307,23%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44C PMIC@50C GPU@42C AO@51.5C thermal@43.25C
2023-08-28 00:38:33 RAM 3454/3956MB (lfb 8x1MB) SWAP 1570/4026MB (cached 134MB) CPU [31%@403,28%@403,26%@403,29%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44C PMIC@50C GPU@42C AO@51C thermal@44C
2023-08-28 00:39:33 RAM 3492/3956MB (lfb 12x1MB) SWAP 1564/4026MB (cached 135MB) CPU [58%@1479,55%@1479,58%@1479,59%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@45.5C PMIC@50C GPU@42.5C AO@52.5C thermal@44C
