2023-08-31 05:29:57 RAM 3412/3956MB (lfb 10x4MB) SWAP 1313/4026MB (cached 81MB) CPU [37%@1479,37%@1479,41%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@44C PMIC@50C GPU@40C AO@50.5C thermal@41.5C
2023-08-31 05:30:57 RAM 3408/3956MB (lfb 10x4MB) SWAP 1313/4026MB (cached 81MB) CPU [41%@1479,33%@1479,42%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 95% PLL@39.5C CPU@42.5C PMIC@50C GPU@40.5C AO@50.5C thermal@42.25C
2023-08-31 05:31:57 RAM 3410/3956MB (lfb 10x4MB) SWAP 1313/4026MB (cached 81MB) CPU [35%@1479,42%@1479,42%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 94% PLL@39C CPU@42.5C PMIC@50C GPU@40.5C AO@50C thermal@41C
2023-08-31 05:32:57 RAM 3412/3956MB (lfb 10x4MB) SWAP 1313/4026MB (cached 81MB) CPU [34%@1479,42%@1479,39%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@50C GPU@40C AO@50.5C thermal@42.25C
2023-08-31 05:33:57 RAM 3410/3956MB (lfb 10x4MB) SWAP 1315/4026MB (cached 81MB) CPU [42%@1479,40%@1479,37%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@42.5C PMIC@50C GPU@40.5C AO@50.5C thermal@42.25C
2023-08-31 05:34:57 RAM 3407/3956MB (lfb 10x4MB) SWAP 1325/4026MB (cached 81MB) CPU [42%@1479,40%@1479,35%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 98% PLL@39.5C CPU@44C PMIC@50C GPU@40.5C AO@50.5C thermal@41.5C
2023-08-31 05:35:57 RAM 3406/3956MB (lfb 10x4MB) SWAP 1325/4026MB (cached 82MB) CPU [39%@1479,41%@1479,37%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 35% PLL@39C CPU@43.5C PMIC@50C GPU@40C AO@50.5C thermal@41.5C
2023-08-31 05:36:57 RAM 3408/3956MB (lfb 10x4MB) SWAP 1327/4026MB (cached 82MB) CPU [38%@1479,44%@1479,41%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@42.5C PMIC@50C GPU@39.5C AO@50C thermal@41.5C
2023-08-31 05:37:57 RAM 3408/3956MB (lfb 10x4MB) SWAP 1330/4026MB (cached 82MB) CPU [35%@1479,40%@1479,43%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 3% PLL@39C CPU@43C PMIC@50C GPU@40C AO@50C thermal@41.5C
2023-08-31 05:38:57 RAM 3408/3956MB (lfb 10x4MB) SWAP 1334/4026MB (cached 82MB) CPU [40%@1479,38%@1479,42%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@42C PMIC@50C GPU@40C AO@50C thermal@41.5C
2023-08-31 05:39:57 RAM 3407/3956MB (lfb 10x4MB) SWAP 1339/4026MB (cached 82MB) CPU [38%@1479,39%@1479,39%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@40C AO@50C thermal@41.75C
