2023-08-30 19:28:13 RAM 3185/3956MB (lfb 94x4MB) SWAP 1671/4026MB (cached 108MB) CPU [32%@204,29%@204,24%@204,23%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46C PMIC@50C GPU@44C AO@54C thermal@45.25C
2023-08-30 19:29:13 RAM 3171/3956MB (lfb 94x4MB) SWAP 1680/4026MB (cached 108MB) CPU [27%@1479,28%@1479,30%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47.5C PMIC@50C GPU@44.5C AO@54C thermal@45C
2023-08-30 19:30:13 RAM 3171/3956MB (lfb 94x4MB) SWAP 1682/4026MB (cached 108MB) CPU [27%@710,22%@710,20%@710,19%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46C PMIC@50C GPU@43.5C AO@53.5C thermal@44.75C
2023-08-30 19:31:13 RAM 3177/3956MB (lfb 94x4MB) SWAP 1687/4026MB (cached 108MB) CPU [29%@1479,26%@1479,28%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@43.5C AO@53.5C thermal@45C
2023-08-30 19:32:13 RAM 3172/3956MB (lfb 94x4MB) SWAP 1687/4026MB (cached 108MB) CPU [28%@518,27%@518,32%@518,21%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@45.5C PMIC@50C GPU@44C AO@53.5C thermal@45C
2023-08-30 19:33:13 RAM 3183/3956MB (lfb 94x4MB) SWAP 1688/4026MB (cached 108MB) CPU [26%@1479,23%@1479,31%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@43.5C AO@53C thermal@45.25C
2023-08-30 19:34:13 RAM 3176/3956MB (lfb 94x4MB) SWAP 1688/4026MB (cached 108MB) CPU [25%@1479,19%@1479,21%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46C PMIC@50C GPU@43.5C AO@53C thermal@44.5C
2023-08-30 19:35:13 RAM 3176/3956MB (lfb 94x4MB) SWAP 1690/4026MB (cached 108MB) CPU [29%@307,27%@307,32%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@46C PMIC@50C GPU@43.5C AO@53.5C thermal@45C
2023-08-30 19:36:13 RAM 3176/3956MB (lfb 94x4MB) SWAP 1690/4026MB (cached 108MB) CPU [30%@1479,28%@1479,30%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@43C AO@53C thermal@45.5C
2023-08-30 19:37:13 RAM 3178/3956MB (lfb 94x4MB) SWAP 1691/4026MB (cached 108MB) CPU [27%@204,21%@204,24%@204,19%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@44.5C PMIC@50C GPU@42.5C AO@52.5C thermal@43.75C
